id,cluster
q7DBD44,3
q76BD40,0
q76164B,2
q7B1D45,13
q738248,6
qB4814B,6
qB8B145,13
qB7074E,7
q1F274D,1
q107C45,9
q125B45,2
q15CA45,13
q159745,12
q1F6545,13
q16654E,1
q11F148,4
q13C248,11
q206F47,14
q2BE14B,3
q2E7842,1
q2A124A,12
q231649,13
q25D649,7
q2E3A4E,3
q245346,7
q2A3746,8
q247443,8
q2D2C43,1
q2A9943,11
q28F648,9
qD1E64B,1
qDFDB41,2
qDFB145,5
qD52745,15
qD7254C,4
qD2A64C,5
qDF5743,6
q5D5744,8
q59CC40,3
q50D045,13
qA79A44,11
qA32542,9
qA4A842,12
qAC2B4D,5
qAAE143,18
qC73F47,12
qCAAD4B,1
qC26F4B,6
qC89E42,7
qC1EB4C,7
qC8C94E,1
qCAA643,16
q99C344,12
q950247,2
q977C4D,4
q98C045,16
q963449,2
q9F9A43,2
q915C48,6
qE85B44,12
qEE4847,3
qED6747,8
qEECE4A,2
qE1A74C,12
qEEB949,3
qE7764E,5
qE17E48,2
q64A047,16
q64534C,2
q608843,12
q684048,1
q359640,3
q3F2942,1
q3AE045,4
q8E0C44,13
q88DA4B,13
q8AA04D,1
q8F0049,4
q8E184E,12
q8C2046,7
q428BFF,6
qF2B1F1,1
qF22DF5,12
qFB77FA,17
qF23DF9,8
qFE8FF6,6
q0758F7,1
q0C92F7,7
q0939F2,16
q0ED1F6,2
q0AAFF3,1
q73B3F4,9
q7D0DF1,16
q7CD0F3,10
qB8B6F7,6
qB497F7,1
qBC85F1,6
qBE17FA,17
qBCCEFC,8
qBDB9FE,5
q1DD5F4,3
q16D9F4,10
q11C9FF,6
q1307F2,3
q1CAFFA,2
q2F7CFF,8
q2323F0,5
q2499F9,1
qD4CBF0,7
qDBD2F7,13
qDCF3FC,10
qD754F9,8
qDF9BF8,14
q5D24FF,13
q5A35F1,12
q5BB9F2,2
q5179FD,1
q521AF3,0
qA12DF4,1
qA1D7F4,12
qAAEBF7,1
qAE77FD,4
qAB08F9,0
qAC22F3,3
qC34AF7,2
qC2E6FB,14
qCA93FD,14
qCE8DFD,1
qCEEEFC,6
qC8E6FE,12
qCEF6F8,2
q9EBAF2,2
q94D8FD,9
q9D14F3,18
q9746F8,13
qE6C0F4,1
qED13F7,1
qE1D6F2,10
qE417FD,1
qED38F5,14
qE26DFA,3
qED8BFA,3
qE4DEFC,4
qEC2FFE,17
qE718F6,9
qEEB2F8,13
q6FB2FB,12
q627BFA,10
q6711FC,19
q62A5F9,2
q6147F8,1
q3776F7,4
q3734F1,3
q3640FA,11
q3C7EF9,12
q3573FE,11
q8A29F4,3
q8EC5F0,1
q8B93FD,11
q8C0BFA,1
q81C8F9,3
q8387F8,9
q449707,11
q48D90B,2
q4B3F01,11
q44BC0D,12
q4D1405,1
q4C330C,1
q44BD0E,6
qF5EB00,12
qF3E10B,15
qF2380D,13
qFD0C05,6
qF7A303,1
qFAFA08,3
q060C0F,10
q05C201,1
q07450D,7
q0F1309,3
q0AC706,3
q029A08,3
q7C9C0F,13
q7E6500,12
q7F1807,1
q77CA08,11
qB7720F,16
qB90B00,4
qBCDD00,12
qBC250B,3
qB8970E,6
q15D204,2
q1D6C06,6
q27FF0B,12
q22930E,11
q224E06,3
q277103,13
qD12501,9
q52440A,6
q5E0203,13
q503603,4
qA97804,7
qAA8707,8
qACC501,0
qC23604,12
qCDD507,3
qC7CF0B,15
qC57B05,12
qC8C208,14
q971C00,9
q98C807,1
q94EB05,1
q913009,12
q9E5B0E,12
q980706,1
qE50C0B,10
qE69801,12
qE9B705,1
qE93006,1
q632A04,3
q682907,5
q681801,1
q659802,1
q65C40C,14
q6F130E,13
q6A530E,18
q6C3603,15
q354E07,1
q3B0F0D,16
q30C605,19
q3CEC0E,6
q3D5603,6
q836A04,3
q8C7607,14
q8E2A07,12
q832B01,2
q858B03,2
q821308,1
q49E57B,16
q4C677A,11
q43C17C,5
qF3F174,19
qFD2870,1
qF23572,1
qF3677E,13
qF0D473,1
qF26578,4
q078677,12
q06C27D,2
q0C9575,4
q774270,14
q71187C,6
qBE9871,8
qB15579,0
q1AAC7F,3
q12D177,5
q157C7D,0
q135475,11
q16D67C,5
q16D17E,16
q27AD7F,9
q2AFA71,3
q25D27A,1
q260A7E,1
q2B147E,12
q2CD373,12
qDE0170,6
qD1F672,4
qD8217D,1
qDB4776,6
q5D747B,17
q5A397B,2
q55BC7E,2
q503B73,12
qAE0374,8
qA54B72,1
qA12A72,1
qA12B73,2
qC74F7B,7
qC4967D,4
qC2E975,11
qCA147A,8
qC24478,4
q96D974,2
q9E9A7A,1
q9C377A,13
q98B57E,13
q9DA278,2
q9F9C78,2
qE9B17F,4
qE9387B,0
qED0E72,6
qE0107D,11
qE4597A,0
qE9E87E,3
qE8CC76,4
qE48573,14
qE27078,13
q6F6B74,1
q6DFD7F,7
q6ADB71,3
q6F6E7A,12
q66077C,0
q63227E,14
q69AD7E,12
q6EBB73,12
q68AD78,20
q37807F,6
q38A970,12
q32E17B,8
q333879,6
q36B57E,1
q8AD87D,16
q892975,7
q4017B4,7
q482BB0,3
q426DB7,13
q47C7BD,2
q492EB9,19
q4900B6,2
qF7F9B4,5
qFF49BF,6
qFDD6B0,12
qF7BBB1,13
qF76FBC,1
qF53CB8,2
q0C41B0,1
q0D2FB0,3
q0C24B0,3
q0E65B5,3
q04DFBA,7
q08F8BC,14
q0F56BE,17
q7320B4,3
q7FF6B1,2
q73CEB2,9
q73CEBD,19
q7756B9,18
q7803B6,14
qBF40B1,5
qB627B1,1
qB39DB2,4
q14E7B5,2
q1D1FBE,15
q17EAB6,0
q1F69B3,6
q2827B4,2
q2B52B4,3
q262FB2,3
q2F1CB5,2
q2C4EBE,15
q2AFABE,7
q2081B3,3
qD4D0BF,1
qD6B7B0,2
qD882B0,6
qDADEBB,2
qD2BEBA,13
qD9E9BC,13
qD1F5B3,12
qDE49B8,14
q53C1B4,12
q5100B7,11
